localid,Language,collection,label,description ,definition,status
C00,it,fisiogr_forma,C00,forme di origine carsica,forme di origine carsica,https://inspire.ec.europa.eu/registry/status/valid
CD,it,fisiogr_forma,CD,depressione carsica,depressione carsica,https://inspire.ec.europa.eu/registry/status/valid
CDA,it,fisiogr_forma,CDA,dolina aperta,dolina aperta,https://inspire.ec.europa.eu/registry/status/valid
CDC,it,fisiogr_forma,CDC,dolina di crollo,dolina di crollo,https://inspire.ec.europa.eu/registry/status/valid
CDD,it,fisiogr_forma,CDD,dolina a fondo piatto,dolina a fondo piatto,https://inspire.ec.europa.eu/registry/status/valid
CDE,it,fisiogr_forma,CDE,uvala aperto,uvala aperto,https://inspire.ec.europa.eu/registry/status/valid
CDH,it,fisiogr_forma,CDH,hum,hum,https://inspire.ec.europa.eu/registry/status/valid
CDI,it,fisiogr_forma,CDI,rilievo residuale (chicot),rilievo residuale (chicot),https://inspire.ec.europa.eu/registry/status/valid
CDP,it,fisiogr_forma,CDP,polje,polje,https://inspire.ec.europa.eu/registry/status/valid
CDR,it,fisiogr_forma,CDR,uvala di crollo,uvala di crollo,https://inspire.ec.europa.eu/registry/status/valid
CDT,it,fisiogr_forma,CDT,polje aperto,polje aperto,https://inspire.ec.europa.eu/registry/status/valid
CDU,it,fisiogr_forma,CDU,uvala,uvala,https://inspire.ec.europa.eu/registry/status/valid
CDV,it,fisiogr_forma,CDV,dolina di subsidenza,dolina di subsidenza,https://inspire.ec.europa.eu/registry/status/valid
CI,it,fisiogr_forma,CI,versante carsificato,versante carsificato,https://inspire.ec.europa.eu/registry/status/valid
CP,it,fisiogr_forma,CP,pietraia carsica (griza o grisè),pietraia carsica (griza o grisè),https://inspire.ec.europa.eu/registry/status/valid
CR,it,fisiogr_forma,CR,ripiano carsificato,ripiano carsificato,https://inspire.ec.europa.eu/registry/status/valid
CT,it,fisiogr_forma,CT,ripiano con tracce di reticolo fluvio carsico,ripiano con tracce di reticolo fluvio carsico,https://inspire.ec.europa.eu/registry/status/valid
CV,it,fisiogr_forma,CV,valle fluvio-carsica,valle fluvio-carsica,https://inspire.ec.europa.eu/registry/status/valid
CVA,it,fisiogr_forma,CVA,valle cieca o valle di sorgente,valle cieca o valle di sorgente,https://inspire.ec.europa.eu/registry/status/valid
CVC,it,fisiogr_forma,CVC,canyon carsico,canyon carsico,https://inspire.ec.europa.eu/registry/status/valid
CVV,it,fisiogr_forma,CVV,valle secca,valle secca,https://inspire.ec.europa.eu/registry/status/valid
E00,it,fisiogr_forma,E00,forme del modellamento erosivo,forme del modellamento erosivo,https://inspire.ec.europa.eu/registry/status/valid
EA,it,fisiogr_forma,EA,forme di accumulo,forme di accumulo,https://inspire.ec.europa.eu/registry/status/valid
EAC,it,fisiogr_forma,EAC,cono (o coni coalescenti) di detrito,cono (o coni coalescenti) di detrito,https://inspire.ec.europa.eu/registry/status/valid
EACa,it,fisiogr_forma,EACa,cono (o coni coalescenti) di detrito attivo/i,cono (o coni coalescenti) di detrito attivo/i,https://inspire.ec.europa.eu/registry/status/valid
EACs,it,fisiogr_forma,EACs,cono (o coni coalescenti) di detrito stabilizzato/i,cono (o coni coalescenti) di detrito stabilizzato/i,https://inspire.ec.europa.eu/registry/status/valid
EAP,it,fisiogr_forma,EAP,glacis d’accumulo,glacis d’accumulo,https://inspire.ec.europa.eu/registry/status/valid
EAS,it,fisiogr_forma,EAS,falda di detrito da crollo (talus),falda di detrito da crollo (talus),https://inspire.ec.europa.eu/registry/status/valid
