id;uom;code;qudt_unit;label;procedure;glosis;definition;;;;;;;;;;122
226;boolean;;;"""s_analisi - Scheda analisi presente in schedario. Specificare se l'orizzonte possiede analisi (1= SI, 0 =NO)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#s_analisi;;;;;;;;;;
227;boolean;;;"""s_campagna - Scheda campagna presente in schedario. Specificare se l'orizzonte possiede analisi (1= SI, 0 =NO)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#s_campagna;;;;;;;;;;
228;codelist;;;"""s_sist_terre - Codice del sottosistema di terre di appartenenza del sito""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#s_sist_terre;;;;;;;;;;
229;codelist;;;"""stat_s - Aspetti superficiali dello stato del suolo""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#stat_s;;;;;;;;;;
230;codelist;;;"""stat_s_s - Aspetti superficiali secondari della stazione: stato del suolo""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#stat_s_s;;;;;;;;;;
231;codelist;;;"""sts_code_t - sts di appartenenza del profilo (campo di appoggio temporaneo)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sts_code_t;;;;;;;;;;
232;codelist;;;"""sub_alteraz - Stato di alterazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sub_alteraz;;;;;;;;;;
233;codelist;;;"""sub_strutt - Struttura del substrato""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#sub_strutt;;;;;;;;;;
234;codelist;;;"""substrato - Litotipo (materiale consolidato) o Origine del materiale non consolidato""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#substrato;;;;;;;;;;
235;codelist;;;"""substrato_s - Litotipo (materiale consolidato) o Origine del materiale non consolidato secondario""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#substrato_s;;;;;;;;;;
236;codelist;;;"""tipo_falda - Tipo di falda idrica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#tipo_falda;;;;;;;;;;
237;codelist;;;"""tipo_osservazione - Codice del tipo di osservazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#tipo_osservazione;;;;;;;;;;
238;°C;Cel;DEG_C;"""tms - temperatura media annua del suolo a 50 cm stimata o misurata""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#tms;;;;;;;;;;
239;codelist;;;"""un_terre - Codice dell'unità di terre di appartenenza del sito""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#un_terre;;;;;;;;;;
240;codelist;;;"""usda_altre - altre (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_altre;;;;;;;;;;
241;codelist;;;"""usda_att - Classe di attività dei cationi di scambio (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_att;;;;;;;;;;
242;codelist;;;"""usda_famiglia_tess - Famiglia granulometrica (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_famiglia_tess;;;;;;;;;;
243;codelist;;;"""usda_grande_gruppo - Grande Gruppo (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_grande_gruppo;;;;;;;;;;
244;codelist;;;"""usda_miner - Famiglia mineralogica (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_miner;;;;;;;;;;
245;codelist;;;"""usda_ordine - Ordine (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_ordine;;;;;;;;;;
246;codelist;;;"""usda_reaz - Classe di reazione (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_reaz;;;;;;;;;;
247;codelist;;;"""usda_sotto_ordine - Sottordine (Soil Taxonomy)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#usda_sotto_ordine;;;;;;;;;;
