id,Reference,Section,uom,code,qudt_unit,label,procedure,isEquivalentTo,definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
36,General and Surface$AJ$4,Vegetation and land use,codelist,,,"Vegetation type 3.1 (dominant) - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,http://w3id.org/glosis/model/siteplot/VegetationClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AJ$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,General and Surface$AK$4,Vegetation and land use,codelist,,,"Vegetation type 3.2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,http://w3id.org/glosis/model/siteplot/VegetationClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AK$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,General and Surface$AL$4,Vegetation and land use,codelist,,,"Vegetation type 3.3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,http://w3id.org/glosis/model/siteplot/VegetationClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AL$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,General and Surface$AM$4,Vegetation and land use,m,m,M,"Average height [m] - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AM$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,General and Surface$AN$4,Vegetation and land use,m,m,M,"Maximum height [m] - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AN$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,General and Surface$AO$4,Vegetation and land use,codelist,,,"Vegetation cover, by area of the crown cover [%] - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AO$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,General and Surface$AP$4,Vegetation and land use,codelist,,,"Species 1 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AP$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,General and Surface$AQ$4,Vegetation and land use,codelist,,,"Species 2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AQ$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,General and Surface$AR$4,Vegetation and land use,codelist,,,"Species 3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-825-vh,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AR$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,General and Surface$AS$4,Vegetation and land use,codelist,,,"Cultivation type - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a189,http://w3id.org/glosis/model/siteplot/CropClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AS$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,General and Surface$AT$4,Vegetation and land use,codelist,,,"Actual cultivated species 1 (dominant) - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AT$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,General and Surface$AU$4,Vegetation and land use,codelist,,,"Actual cultivated species 2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AU$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,General and Surface$AV$4,Vegetation and land use,codelist,,,"Actual cultivated species 3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AV$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,General and Surface$AW$4,Vegetation and land use,codelist,,,"Last cultivated species 1 (dominant) - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AW$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,General and Surface$AX$4,Vegetation and land use,codelist,,,"Last cultivated species 2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AX$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,General and Surface$AY$4,Vegetation and land use,codelist,,,"Last cultivated species 3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AY$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,General and Surface$AZ$4,Vegetation and land use,codelist,,,"month and year of harvest or cultivation cessation - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#actual-or-last-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$AZ$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,General and Surface$BA$4,Vegetation and land use,codelist,,,"Rotational cultivated species 1 (most frequent) - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#rotational-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BA$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,General and Surface$BB$4,Vegetation and land use,codelist,,,"Rotational cultivated species 2 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#rotational-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BB$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,General and Surface$BC$4,Vegetation and land use,codelist,,,"Rotational cultivated species 3 - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#rotational-cultivated-species,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BC$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,General and Surface$BD$4,Vegetation and land use,codelist,,,"Special technique to enhance site productivity 1 (dominant) - Vegetation and land use",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1810,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#General and Surface$BD$4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
